         341,          35,        11.7206,        18.5446,        13.3060,        19.4625,         0.3532,         0.5630,         0.3704,         4.3299,         0.3983,        31.5317,      1269.2826,       119.1042,         2.4857,        38.2092,         9.3860,        10.1971,         0.0873,         1.3320,         2.9355,         0.4718,         0.2820,         0.0275,         0.1449,         2.8808,         1.3550,       660.5276,         0.5672,         0.2755,         0.2854,         0.1098,
         343,          36,        10.7738,        18.0533,        12.8579,        17.8716,         0.4085,         0.5688,         0.3734,         4.7959,         0.3925,        20.8929,      1279.5770,       119.1348,         2.4233,        38.7731,         9.5025,        10.9871,         0.0690,         1.3033,         2.2179,         0.4879,         0.2869,         0.0164,         0.1423,         2.8529,         1.3703,       661.1784,         0.5720,         0.2765,         0.2886,         0.1108,
         349,          37,        10.5080,        18.0053,        12.3765,        18.3875,         0.3902,         0.6106,         0.3823,         4.8777,         0.3925,        27.5165,      1221.1287,       119.9123,         2.4308,        38.3460,         9.4490,        10.2914,         0.0671,         1.2991,         2.7844,         0.8129,         0.2967,         0.0208,         0.1437,         2.7968,         1.4139,       660.5496,         0.5719,         0.2771,         0.2852,         0.1106,
         380,          38,        10.4179,        17.6140,        12.6971,        19.7170,         0.3426,         0.6340,         0.3864,         5.1107,         0.3934,        25.9912,      1189.6249,       118.9442,         2.4570,        37.8332,         9.5060,        10.7547,         0.0557,         1.3066,         2.2611,         0.7132,         0.2882,         0.0145,         0.1394,         2.8261,         1.4141,       660.2800,         0.5696,         0.2774,         0.2863,         0.1078,
         398,          39,        10.5765,        17.5487,        12.8954,        20.3623,         0.3538,         0.6046,         0.3809,         4.7493,         0.4002,        24.5811,      1155.3281,       118.7595,         2.4750,        37.0743,         9.5104,        11.1852,         0.0635,         1.3397,         2.2456,         0.8289,         0.2821,         0.0125,         0.1407,         2.7848,         1.4132,       660.1119,         0.5710,         0.2771,         0.2859,         0.1084,
         406,          40,        10.7708,        17.9663,        12.8153,        20.5798,         0.3441,         0.5827,         0.3865,         4.7749,         0.4058,        31.1694,      1243.5010,       118.2862,         2.4636,        37.1097,         9.5225,        11.6561,         0.0811,         1.2923,         1.5402,         0.5347,         0.2928,         0.0156,         0.1379,         2.8070,         1.4224,       659.6594,         0.5703,         0.2769,         0.2819,         0.1059,
         419,          41,        11.3663,        17.7427,        12.7775,        19.8449,         0.3131,         0.6141,         0.3869,         4.8774,         0.4116,        27.6353,      1150.8556,       118.8306,         2.4798,        37.4298,         9.3947,        11.2446,         0.0689,         1.2281,         1.0893,         0.4804,         0.3041,         0.0174,         0.1403,         2.8209,         1.4625,       660.0186,         0.5752,         0.2761,         0.2839,         0.1036,
         420,          42,        10.7885,        18.1718,        12.6199,        20.1617,         0.3422,         0.5729,         0.3828,         5.2633,         0.4130,        32.0890,      1241.2351,       117.9649,         2.4617,        36.6624,         9.5137,        10.9718,         0.0905,         1.3369,         0.1139,         0.6560,         0.2940,         0.0281,         0.1398,         2.8674,         1.4698,       660.3716,         0.5799,         0.2762,         0.2816,         0.1042,
         422,          43,        10.9705,        18.3980,        12.3787,        19.3623,         0.3560,         0.5444,         0.3739,         5.1548,         0.4193,        26.8648,      1173.3188,       119.2711,         2.4967,        37.1144,         9.3751,        11.7963,         0.1101,         1.3115,         0.4894,         0.8421,         0.2949,         0.0383,         0.1354,         2.9140,         1.4266,       660.0081,         0.5789,         0.2768,         0.2779,         0.1056,
         426,          44,        11.2457,        18.2644,        11.9749,        20.6134,         0.3573,         0.5096,         0.3743,         4.8767,         0.4267,        24.5050,      1244.9303,       120.2123,         2.5300,        37.2860,         9.3194,        12.3284,         0.1057,         1.2991,         0.3798,         0.4977,         0.3068,         0.0505,         0.1390,         2.8948,         1.4707,       660.0189,         0.5793,         0.2773,         0.2776,         0.1092,
