 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1528,         0.1084,         0.3482,         0.4567,         0.0000,         0.0000,       130.7982,        66.5088,       169.0985,       284.1585,       282.7004,       451.5592,         0.4566,     85453.8281,     71421.9062
   1529,         0.0869,         0.3689,         0.4558,         0.0000,         0.0000,       130.4540,        66.4500,       168.8635,       284.4653,       282.7269,       451.5798,         0.4557,     85453.6406,     71421.9062
   1530,         1.1117,        -0.6261,         0.4855,         0.0065,         0.0257,       130.1141,        66.3919,       168.6315,       284.7670,       282.7531,       451.6007,         0.4599,     85453.4531,     71421.9062
   1531,         1.3866,        -0.8522,         0.5343,         0.0163,         0.0728,       129.7799,        66.3348,       168.4039,       285.0659,       282.7792,       451.6223,         0.4616,     85453.2656,     71421.9062
   1532,         0.2424,         0.2668,         0.5092,         0.0000,         0.0511,       129.4385,        66.2762,       168.1699,       285.3622,       282.8050,       451.6443,         0.4580,     85453.0781,     71421.9062
   1533,         1.0454,        -0.5281,         0.5174,         0.0081,         0.0586,       129.1019,        66.2185,       167.9395,       285.6570,       282.8311,       451.6663,         0.4588,     85452.8906,     71421.9062
   1534,         1.6387,        -1.0567,         0.5820,         0.0359,         0.1210,       128.7802,        66.1635,       167.7207,       285.9494,       282.8571,       451.6887,         0.4610,     85452.7031,     71421.9062
   1535,         0.8440,        -0.2947,         0.5493,         0.0082,         0.0950,       128.4455,        66.1059,       167.4911,       286.2422,       282.8833,       451.7108,         0.4543,     85452.5156,     71421.9062
   1536,         2.0159,        -1.3736,         0.6424,         0.0884,         0.1864,       128.1517,        66.0563,       167.2939,       286.5323,       282.9092,       451.7332,         0.4560,     85452.3281,     71421.9062
   1537,         1.8992,        -1.2084,         0.6908,         0.0919,         0.2385,       127.8604,        66.0071,       167.0984,       286.8203,       282.9351,       451.7563,         0.4523,     85452.1406,     71421.9062
   1538,         2.7974,        -1.9528,         0.8446,         0.3024,         0.3894,       127.6751,        65.9789,       166.9872,       287.1051,       282.9607,       451.7797,         0.4552,     85451.9531,     71421.9062
   1539,         2.5529,        -1.6427,         0.9102,         0.3597,         0.4531,       127.5189,        65.9565,       166.8990,       287.3879,       282.9864,       451.8033,         0.4571,     85451.7656,     71421.9062
   1540,         0.7419,        -0.0171,         0.7248,         0.0032,         0.2690,       127.1850,        65.8985,       166.6685,       287.6707,       283.0120,       451.8273,         0.4558,     85451.5781,     71421.9062
   1541,         1.2223,        -0.5261,         0.6962,         0.0547,         0.2406,       126.8777,        65.8457,       166.4588,       287.9518,       283.0376,       451.8512,         0.4557,     85451.3906,     71421.9062
   1542,         1.3394,        -0.6206,         0.7187,         0.0989,         0.2622,       126.5933,        65.7974,       166.2670,       288.2322,       283.0634,       451.8751,         0.4565,     85451.2031,     71421.9062
   1543,         0.8532,        -0.1185,         0.7347,         0.0000,         0.2744,       126.2602,        65.7391,       166.0359,       288.5076,       283.0890,       451.8998,         0.4603,     85451.0156,     71421.9062
   1544,         1.2927,        -0.5996,         0.6931,         0.0421,         0.2302,       125.9490,        65.6851,       165.8220,       288.7794,       283.1140,       451.9250,         0.4629,     85450.8281,     71421.9062
