"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","QCt13_mean1","QCt14_mean1","QCt15_mean1","QCt16_mean1","QCt17_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"80",122.635847,63.461122,140.462454,17.826611,78.413976,62.048465,43.553095,4.705629,13.789731,18.984814,0.856265,34.521909,23.005796,1.045205,212.734127,112.182729,207.381263,244.282826,276.191704,439.355656,80206.545317,73196.197572,19.602588,2.115714,11.078565,45.801945,1.984779,68.418794,80.236329,1.982453,0.54581,26.489412,41.010259,32.332977,9.301726,0.42247,17.38418,11.655384,0.534539,31.730557,25.384448,6.34611,0,2.787707,7.716453,2.509677,0.101286,1.064204,1.62221,0.00796,1.097144,3.250117,3.84389,5.102532,9.20548,9.453937,9.360766,9.294649,9.247428
"81",98.298612,54.226456,126.711702,28.413091,74.531006,52.180694,36.550875,3.867605,11.762212,17.319489,0.821687,33.169037,22.207169,1.013614,219.368072,115.226038,216.309563,234.837347,276.255748,437.337776,80149.613592,73220.491013,20.479224,2.37934,12.762252,43.043968,1.958404,67.746868,79.846258,1.977552,0.538559,24.91584,40.813026,32.03355,9.640115,0.458054,18.829604,12.682364,0.582226,27.113226,21.690585,5.422651,0,4.865239,9.702792,1.836723,0.834241,1.936752,2.094252,0.200449,1.520959,3.489471,3.943645,5.18972,9.496996,9.836818,9.749831,9.657449,9.586228
"82",51.93383,27.008498,82.117767,30.183937,51.362676,30.755087,22.419974,2.10906,6.22605,11.574,0.557267,22.994292,15.52396,0.713153,212.35678,115.444457,213.588929,240.584788,277.069677,435.504141,80109.901018,73237.642338,20.515545,2.513242,13.493242,28.638232,1.322249,46.819067,55.550256,1.384951,0.363617,16.586933,28.398356,22.179602,9.904066,0.47522,19.463452,13.187728,0.605464,13.504251,10.772586,2.731663,0,4.756172,6.174154,0.733371,0.931975,2.096941,1.727263,0.00561,0.739827,2.471715,2.972237,4.230543,8.582791,9.104159,9.121158,9.081144,9.05462
"83",5.827224,0.000783,34.189778,28.362554,23.173022,11.016754,8.991054,0.495497,1.530201,5.278925,0.24116,10.307494,7.019106,0.326335,193.216035,113.072658,201.220491,260.083571,278.542613,434.897785,80092.991245,73245.052811,19.141142,2.371881,12.368776,12.366985,0.543272,19.925052,23.787133,0.602033,0.149403,7.154354,12.164479,9.457958,10.08276,0.454497,18.506481,12.579153,0.577852,0.000392,0.000315,7.7e-05,0,1.769952,1.506501,0.392042,0.027719,0.995582,0.746625,0.005304,0.755085,2.470666,3.076952,4.156912,7.224223,7.765922,7.860708,7.894959,7.928616
"84",3.846405,0.003622,24.614443,20.768034,16.699096,7.915341,5.910028,0.402133,1.603176,4.065097,0.171405,7.266679,4.963922,0.232001,173.10821,110.774331,189.702154,282.753935,280.119024,434.938887,80081.303362,73248.838273,20.109629,2.298691,11.519796,9.303919,0.377585,13.73486,16.426068,0.418962,0.103833,5.374673,8.401561,6.525345,10.909316,0.451932,18.298722,12.442977,0.571773,0.001811,0.00145,0.000363,0,0.936699,0.764751,0.495098,0.047169,0.491531,0.397997,0.012594,0.21128,3.043839,3.98166,4.849054,6.506526,6.897265,6.993914,7.056265,7.110501
"85",3.331186,4.7e-05,7.801881,4.470698,7.392668,0.409221,0.225089,0.024686,0.159445,1.955634,0.07561,3.123467,2.137366,0.100584,157.956797,109.454113,183.291077,300.142035,281.078432,435.227275,80075.468201,73249.350699,15.15144,1.320227,6.41109,4.372662,0.162847,5.761738,6.896757,0.177599,0.044783,2.521298,3.528301,2.737417,6.981469,0.265431,10.694327,7.265629,0.334439,2.3e-05,1.7e-05,6e-06,0,0.293884,0.216971,0.314952,0.036193,0.123459,0.134241,0.002661,0.704429,3.234226,4.410257,5.252949,6.344682,6.581085,6.640328,6.693474,6.738081
"86",6.083318,0.005698,4.18611,-1.897212,4.036586,0.149525,0.083579,0.005562,0.060384,1.115113,0.040871,1.677905,1.148585,0.054113,146.184948,108.704352,179.713908,313.135529,281.629162,435.458784,80071.981015,73249.372807,11.774688,0.750416,3.579265,2.472277,0.08742,3.074175,3.676092,0.094719,0.024036,1.42511,1.880663,1.462201,4.224771,0.152492,6.133051,4.164717,0.19156,0.003045,0.002281,0.000769,0,0.254373,0.100043,0.08017,0.011423,0.063942,0.179009,0.001875,0.898936,3.256305,4.471125,5.360672,6.31615,6.463127,6.488052,6.524448,6.55496
"87",19.925056,0.425579,15.410632,-4.514429,14.068321,1.342315,0.761699,0.055447,0.525168,4.121489,0.144978,5.719755,3.898629,0.183476,133.522001,106.50006,169.441866,327.223352,283.188183,436.70031,80063.099528,73251.661872,13.054505,2.215811,10.294515,9.593488,0.324466,10.994974,13.116886,0.336614,0.089232,5.52678,6.709917,5.225715,13.255794,0.458282,18.403876,12.471389,0.573456,0.03403,0.022504,0.01153,0.393421,0.242857,0.372854,0.079361,0.007966,0.0645,0.170404,0.001324,0.859416,3.250014,4.496974,5.448862,6.445081,6.584258,6.61104,6.648245,6.681189
"88",36.339565,33.719653,29.590544,-6.749022,15.138278,14.45227,7.980033,0.954771,5.517453,4.584991,0.155268,6.078616,4.125346,0.194045,150.928051,105.24374,162.203424,339.502705,284.708858,438.262357,80053.729057,73254.361248,12.789006,2.197352,9.821927,10.661168,0.347111,11.669361,13.86683,0.355653,0.095462,6.138362,7.093455,5.544087,13.988679,0.465816,18.670632,12.602847,0.579732,4.494802,3.315967,1.178829,30.129847,0.272697,0.422519,0.138967,0.015999,0.090263,0.166431,0.022471,0.467848,3.167741,4.430604,5.436598,6.504564,6.65402,6.686207,6.726677,6.764157
"89",95.721501,56.859251,74.758743,-20.962751,27.322764,47.435986,29.306106,3.45026,14.679611,8.785051,0.285063,10.721786,7.197345,0.333511,171.23696,107.695306,170.168687,343.740109,285.765475,441.806523,80036.990626,73261.134063,15.353479,1.98484,8.795207,20.208993,0.630479,20.315125,23.90932,0.603798,0.173377,11.633045,12.226364,9.634115,13.015451,0.420795,16.885351,11.332116,0.521233,23.856957,18.848754,5.008195,18.648131,0.339503,0.890089,0.68502,0.014697,0.01591,0.308892,0.004646,0.130705,0.945823,2.984453,4.430699,6.610066,6.829519,6.892644,6.952689,7.009125
