"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","QCt11_sd1","QCt12_sd1","QCt13_sd1","QCt14_sd1","QCt15_sd1","QCt16_sd1","QCt17_sd1","NPPL_sd1","NPPR_sd1","NPPS_sd1","add_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"21",0,0,0.0200389538578531,0.0200399203611395,0.0200378990410619,0,0,0,0,0.00469454562080916,0.000420930906780234,0.0094699125357282,0.00499057738405704,0.000459972550784032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354662942991389,0,0.0172808415842107,0.00590898100907902,0.0385203764915467,0.00529315729422565,0.0118033196409084,0.0066911890655631,0.0226445027779505,0.0115332234624299,0.00159460295555307,0.000173295450405525,5.3522392179658e-05,0,0,0
"22",0,0,0.014585608099643,0.0145870935065794,0.014585109883132,0,0,0,0,0.0034385039029946,0.000308418907044017,0.00687393341588798,0.0036353978010277,0.000340307347715402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149669970605363,0,0.0123500058888466,0.00764296626535361,0.0143631492565404,0.00386589268638257,0.000354446502638019,0.0181192368057885,0.0436100527749085,0.0244699545928835,0.00391171911883334,0.00025722685817325,3.07482445913606e-05,0,0,0
"23",0,0,0.00517045804195666,0.00516104131690011,0.00517221198015683,0,0,0,0,0.00125197863602003,0.000107548438699346,0.00241223732018407,0.00127685654098755,0.000119641721043048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132364930202357,0,0.00360488039000778,0.00328488365183009,0.0148723185343059,0.00349713461351583,0.000980090183440671,0.0277740711143078,0.11062428808879,0.0430494409095666,0.00756637130647671,0.000514045157785248,4.72581562624159e-05,3.58870281284988e-05,0,0
"24",0,0,0.00381503882183652,0.00381613056973333,0.00381727214993472,0,0,0,0,0.000979393236198393,8.19953189104953e-05,0.00174676005995981,0.000928600010660154,8.93240610294136e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00837984137165743,0,0.00211924205051874,0.00230309651021262,0.00844442910019871,0.00244877437907129,0.000561833218719369,0.0355961326210553,0.0933930091201973,0.064867333143046,0.0137675937394208,0.0010714565749106,7.95124029459018e-05,0,0,0
"25",0,0,0.0025999720278216,0.00260339638304901,0.00259835690117011,0,0,0,0,0.000702638605615308,6.09271795844915e-05,0.00117100103942883,0.000624078310289474,6.41573192719436e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00635756917843494,0,0.00144581423007203,0.00197279374277068,0.00666125378740384,0.00167283706271228,0.000177934274552729,0.0274397024897733,0.0592375730820099,0.0795788248762626,0.0167957929737229,0.00149476223574656,0.000126347284749812,9.99999999997669e-06,0,0
"26",0,0,0.00354919979599896,0.00355297911703133,0.00354742757843524,0,0,0,0,0.000992051236865115,7.58786910639386e-05,0.00158008150921325,0.000835772793058095,7.79212241415586e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00885695731779785,0,0.00268108902945023,0.00246559579539361,0.00995444548171744,0.00153698478269052,0.000488142221368761,0.0307471548490772,0.0624861237121143,0.11427618458203,0.0240861409499028,0.0020491190519072,0.000184059169230279,0,0,0
"27",0,0,0.00312261157211443,0.0031222037995071,0.0031216369378448,0,0,0,0,0.000890313189702117,7.25509225553837e-05,0.00137761725197139,0.000726805658100196,7.3827535855562e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00919493250863669,0,0.00234712375025048,0.00173661228321759,0.00963311895535817,0.00153396923572855,8.24559876478953e-05,0.0313096372519466,0.0647727824979386,0.10128925801332,0.0265272044657494,0.00263712117294749,0.000240159879406877,1.96946385566473e-05,0,0
"28",0,0,0.00151352021273037,0.00151053238323717,0.00151517942398531,0,0,0,0,0.000439663553645313,5.0251890762983e-05,0.000660482682390166,0.000348762603407176,3.56186309210024e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00626590412833252,0,0.000201737403071368,0.00282769331698992,0.00617766218734969,0.00137645276788643,0.000125545275345655,0.0317052716994407,0.0537485715948326,0.0628786088066088,0.0195115263525451,0.0025287156879141,0.000276456656328484,4.35194139895961e-05,0,0
"29",0,0,0.0047189464455063,0.00470902164451227,0.00471683466881426,0,0,0,0,0.00143565140249812,0.000103840398125345,0.00202283529390375,0.00106413098229246,0.000102572959990488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150829549927437,0,0.00344973780294835,0.00712840979901032,0.0174562604613053,0.00396326299093986,0.0027133376144706,0.0270121221571787,0.0640453188978498,0.056345080037608,0.0132004837683007,0.00192982204654038,0.000254328190106341,2.45360999759836e-05,4.85236587092779e-05,0
"30",0,0,0.00734599457960868,0.00733875632818286,0.00733075023376873,0,0,0,0,0.00221114235295931,0.000157284404307626,0.0031636470451462,0.00166386309654389,0.000158795974810938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209767186965151,0,0.00214857246476902,0.00846151716462672,0.0242744991522155,0.0069814663737121,0.00190110945811049,0.0239480640705522,0.0524526511929732,0.0363008665617133,0.00898668931523089,0.00133924862093892,0.000197589003088125,4.16333199892256e-05,0,0
"31",0,0,0.00751666135859428,0.00750667117444291,0.00750926558972171,0,0,0,0,0.00213638489136208,0.000160865713493498,0.00332122938781185,0.00173692256591943,0.000161342223646841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03511590873756,0,0.00181017773556726,0.0112707456754559,0.0396995490903839,0.00728563800995639,0.00172718723871379,0.0158747560229403,0.0301247551480053,0.0158056937701436,0.00432705839380915,0.000783627282049093,0.00012762001679563,2.38683256575386e-05,0,0
"32",0,0,0.013445247592673,0.0134416563433427,0.0134416300418442,0,0,0,0,0.00356105349864363,0.000288843042205123,0.0061175418414437,0.00318768400142316,0.000303413242887633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409970543903689,0,0.0103766954803015,0.00881310886570612,0.0444984337029991,0.00682282680833726,0.000841798819508113,0.0182711141179489,0.0230597602202222,0.0125847197309702,0.00242271969222002,0.000399205018085549,8.55404683013517e-05,2.56432399975645e-05,0,0
"33",0,0,0.0112501454984966,0.0112465918967894,0.0112496002622584,0,0,0,0,0.00280567588500822,0.000240561212521236,0.00522413542216233,0.00272835818466683,0.000253243604524037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039807497085881,0,0.00715696623273895,0.00848826754164746,0.0422324981262037,0.00768327423891033,0.000973318804374751,0.0205272670102255,0.0246177624138065,0.0137221116259396,0.00229547116705653,0.0002678685038475,6.1954691818828e-05,0,0,0
"34",0,0,0.0098623915799749,0.00985811766202768,0.0098593737891997,0,0,0,0,0.00240827361779792,0.000206402568302869,0.00460389591278491,0.00240931253030553,0.000228733888873497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029094575911581,0,0.00301944456060141,0.0103643910588226,0.0327813587086911,0.00922793841953594,0.00179701323469154,0.0260923612801087,0.0484274855069438,0.0266968863617865,0.00407732532650779,0.000303973683071482,2.9318866956142e-05,0,0,0
"35",0,0,0.00551889463387352,0.00551852710550029,0.00551305988475829,0,0,0,0,0.00136429617033986,0.000109077861172547,0.00256086534459185,0.00134797228937737,0.000129782257429253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154616320175609,0,0.00301193903784203,0.00459657580062693,0.0162527054779669,0.00447066973492651,0.000967844632326507,0.0342779750677819,0.113631320710729,0.047809224956164,0.00855582800956709,0.000584050641224812,4.57816513021301e-05,0,0,0
