 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
   8185,         3.0004,         0.3857,         3.3861,       162.1301,       449.0878,        91.4734,     81101.0938,       164.3185,       286.9284,    154338.3125,       116.0000,       256.1720,         1.9490,         1.4036,         1.9825
   8186,         5.0147,        -1.8550,         3.1597,       162.3805,       449.1540,        91.5496,     81100.2344,       164.6323,       286.6098,    154337.8906,       116.0000,       256.1494,         1.3552,         1.4495,         1.7102
   8187,         2.4209,         0.6540,         3.0748,       162.5099,       449.2152,        91.6017,     81099.3594,       164.8494,       286.3021,    154337.4531,       116.0000,       256.1274,         1.1143,         1.4510,         1.6238
   8188,         4.5412,        -1.0158,         3.5254,       163.0432,       449.2841,        91.7347,     81098.4219,       165.3898,       285.9327,    154336.9531,       116.0000,       256.1006,         1.9242,         1.5157,         2.0097
   8189,         4.8406,        -1.4024,         3.4381,       163.3735,       449.3573,        91.8272,     81097.4219,       165.7680,       285.5072,    154336.4688,       116.0000,       256.0694,         1.5202,         1.5949,         1.8432
   8190,         4.5508,        -0.9656,         3.5852,       163.7726,       449.4306,        91.9337,     81096.3984,       166.2013,       285.0570,    154335.9688,       116.0000,       256.0361,         1.6593,         1.6344,         1.9508
   8191,         4.8482,        -1.1264,         3.7218,       164.2298,       449.5063,        92.0520,     81095.2734,       166.6816,       284.5634,    154335.5000,       116.0000,       255.9993,         1.7787,         1.6992,         2.0226
   8192,         5.3948,        -1.6874,         3.7074,       164.6006,       449.5796,        92.1530,     81094.1719,       167.0930,       284.0612,    154335.0000,       116.0000,       255.9617,         1.6073,         1.7168,         1.9907
   8193,         5.4936,        -1.5998,         3.8938,       165.0256,       449.6582,        92.2651,     81092.9609,       167.5480,       283.4978,    154334.4375,       116.0000,       255.9194,         1.7178,         1.8009,         2.0929
   8194,         5.3875,        -1.3415,         4.0461,       165.4860,       449.7384,        92.3845,     81091.7656,       168.0318,       282.8900,    154333.8750,       116.0000,       255.8736,         1.7909,         1.8680,         2.1781
