 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1405,         0.2593,         1.4761,         1.7354,         0.0000,         0.9065,       179.0237,        98.1134,       190.0815,       224.3388,       252.0761,       448.6201,         0.8288,     81158.4688,     72777.3516
   1406,         0.1873,         1.5566,         1.7439,         0.0000,         0.9218,       178.5527,        98.0517,       189.8252,       224.6578,       252.0894,       448.5660,         0.8221,     81157.9062,     72777.5391
   1407,         0.1599,         1.4281,         1.5881,         0.0000,         0.7830,       178.0829,        97.9891,       189.5657,       224.9882,       252.1044,       448.5120,         0.8051,     81157.3438,     72777.7266
   1408,         0.1101,         1.1089,         1.2190,         0.0000,         0.4947,       177.6144,        97.9269,       189.3080,       225.3633,       252.1236,       448.4587,         0.7243,     81156.8750,     72777.9141
   1409,         0.0352,         1.1101,         1.1453,         0.0000,         0.4682,       177.1471,        97.8651,       189.0521,       225.7611,       252.1449,       448.4079,         0.6771,     81156.5000,     72778.1016
   1410,         0.0711,         1.0430,         1.1142,         0.0000,         0.4653,       176.6810,        97.8037,       188.7982,       226.1700,       252.1673,       448.3593,         0.6489,     81156.1250,     72778.2891
   1411,         0.0776,         1.0412,         1.1188,         0.0000,         0.4858,       176.2162,        97.7428,       188.5460,       226.5823,       252.1899,       448.3134,         0.6330,     81155.7500,     72778.4766
   1412,         0.0327,         0.9632,         0.9959,         0.0000,         0.3834,       175.7525,        97.6821,       188.2954,       227.0017,       252.2133,       448.2691,         0.6124,     81155.3750,     72778.6641
   1413,         0.0489,         0.7987,         0.8476,         0.0000,         0.2758,       175.2901,        97.6218,       188.0462,       227.4412,       252.2386,       448.2257,         0.5719,     81155.0000,     72778.8516
   1414,         0.0578,         0.7493,         0.8071,         0.0000,         0.2608,       174.8289,        97.5618,       187.7987,       227.8911,       252.2648,       448.1837,         0.5463,     81154.6250,     72779.0391
   1415,         0.0211,         0.7562,         0.7773,         0.0000,         0.2428,       174.3689,        97.5021,       187.5526,       228.3428,       252.2912,       448.1435,         0.5345,     81154.2500,     72779.2266
   1416,         0.0251,         0.7229,         0.7480,         0.0000,         0.2319,       173.9102,        97.4427,       187.3079,       228.8002,       252.3183,       448.1050,         0.5161,     81154.0078,     72779.2812
   1417,         0.0221,         0.7360,         0.7581,         0.0000,         0.2491,       173.4526,        97.3836,       187.0647,       229.2573,       252.3453,       448.0682,         0.5090,     81153.8203,     72779.2812
   1418,         0.0391,         0.7820,         0.8211,         0.0000,         0.3121,       172.9962,        97.3249,       186.8229,       229.7099,       252.3719,       448.0332,         0.5090,     81153.6328,     72779.2812
   1419,         0.0160,         0.6273,         0.6432,         0.0000,         0.1693,       172.5411,        97.2664,       186.5825,       230.1790,       252.4001,       447.9987,         0.4740,     81153.4453,     72779.2812
   1420,         0.0977,         0.7807,         0.8784,         0.0000,         0.3914,       172.0871,        97.2082,       186.3434,       230.6362,       252.4272,       447.9661,         0.4870,     81153.2578,     72779.2812
   1421,         0.3269,         0.8278,         1.1547,         0.0000,         0.6456,       171.6344,        97.1502,       186.1050,       231.0759,       252.4528,       447.9349,         0.5090,     81153.0703,     72779.2812
   1422,         0.1962,         1.0927,         1.2889,         0.0000,         0.7681,       171.1828,        97.0920,       185.8663,       231.5065,       252.4778,       447.9044,         0.5208,     81152.8672,     72779.2969
   1423,         0.0262,         0.8499,         0.8761,         0.0000,         0.3766,       170.7324,        97.0339,       185.6282,       231.9481,       252.5040,       447.8742,         0.4995,     81152.6797,     72779.2969
   1424,         0.0322,         0.7137,         0.7459,         0.0000,         0.2636,       170.2832,        96.9761,       185.3911,       232.3976,       252.5309,       447.8442,         0.4823,     81152.4922,     72779.2969
   1425,         0.0228,         0.6711,         0.6939,         0.0000,         0.2245,       169.8352,        96.9185,       185.1554,       232.8520,       252.5583,       447.8144,         0.4694,     81152.3047,     72779.2969
   1426,         0.0075,         0.5240,         0.5315,         0.0000,         0.1056,       169.3883,        96.8612,       184.9209,       233.3300,       252.5878,       447.7843,         0.4259,     81152.1172,     72779.2969
   1427,         0.0180,         0.6642,         0.6822,         0.0000,         0.2330,       168.9427,        96.8042,       184.6875,       233.7890,       252.6157,       447.7563,         0.4492,     81151.9297,     72779.2969
   1428,         0.0655,         0.7725,         0.8380,         0.0000,         0.3769,       168.4982,        96.7473,       184.4553,       234.2368,       252.6427,       447.7299,         0.4611,     81151.7422,     72779.2969
   1429,         0.0132,         0.5595,         0.5726,         0.0000,         0.1542,       168.0549,        96.6908,       184.2243,       234.7080,       252.6717,       447.7029,         0.4184,     81151.5547,     72779.2969
   1430,         0.0060,         0.4873,         0.4933,         0.0000,         0.1070,       167.6127,        96.6351,       183.9971,       235.1923,       252.7017,       447.6766,         0.3863,     81151.3281,     72779.2969
   1431,         0.0348,         0.5750,         0.6098,         0.0000,         0.2044,       167.1717,        96.5791,       183.7686,       235.6632,       252.7308,       447.6515,         0.4053,     81151.1406,     72779.2969
   1432,         0.0367,         0.5685,         0.6052,         0.0000,         0.2069,       166.7318,        96.5234,       183.5416,       236.1346,       252.7599,       447.6270,         0.3984,     81150.9297,     72779.2969
   1433,         0.1081,         0.5590,         0.6670,         0.0000,         0.2749,       166.2932,        96.4685,       183.3180,       236.6034,       252.7885,       447.6039,         0.3921,     81150.6719,     72779.2969
   1434,         0.1500,         0.6055,         0.7555,         0.0000,         0.3543,       165.8557,        96.4133,       183.0933,       237.0652,       252.8168,       447.5815,         0.4012,     81150.4844,     72779.2969
   1435,         0.0380,         0.6225,         0.6605,         0.0000,         0.2697,       165.4193,        96.3583,       182.8694,       237.5311,       252.8456,       447.5591,         0.3908,     81150.2266,     72779.2969
